Area,Team Member,Metric,Purpose,Source,Threshold,Goal,Week,Start Date,End Date,Value
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 2,5/17,5/23,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 3,5/24,5/30,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 4,5/31,6/6,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 5,6/7,6/13,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 6,6/14,6/20,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 7,6/21,6/27,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 8,6/28,7/4,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 9,7/5,7/11,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 10,7/12,7/18,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 11,7/19,7/25,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 12,7/26,8/1,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 13,8/2,8/8,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 14,8/9,8/15,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 15,8/16,8/22,
Education,Alisha,Onsite Programming,"We're growing onsite programming (Last 30 days, compared to last year.)",Programs Sheet,0%,8%,Week 16,8/23,8/29,
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 1,5/10,5/16,306
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 2,5/17,5/23,386
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 3,5/24,5/30,306
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 4,5/31,6/6,331
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 5,6/7,6/13,364
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 6,6/14,6/20,336
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 7,6/21,6/27,167
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 8,6/28,7/4,107
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 9,7/5,7/11,125
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 10,7/12,7/18,96
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 11,7/19,7/25,99
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 12,7/26,8/1,73
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 13,8/2,8/8,34
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 14,8/9,8/15,132
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 15,8/16,8/22,98
Education,Alisha,Onsite Participants,We're continually providing events (Last 30 days),SalesForce,125,300,Week 16,8/23,8/29,108
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 1,5/10,5/16,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 2,5/17,5/23,3
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 3,5/24,5/30,3
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 4,5/31,6/6,3
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 5,6/7,6/13,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 6,6/14,6/20,3
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 7,6/21,6/27,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 8,6/28,7/4,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 9,7/5,7/11,5
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 10,7/12,7/18,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 11,7/19,7/25,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 12,7/26,8/1,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 13,8/2,8/8,5
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 14,8/9,8/15,3
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 15,8/16,8/22,4
Education,Alisha,Onsite Programming,We're inviting the public outside of gallery visits and rental events (1 month rolling),Master Calendar,4,8,Week 16,8/23,8/29,5
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 1,5/10,5/16,3
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 2,5/17,5/23,0
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 3,5/24,5/30,27
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 4,5/31,6/6,16
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 5,6/7,6/13,0
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 6,6/14,6/20,5
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 7,6/21,6/27,0
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 8,6/28,7/4,
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 9,7/5,7/11,3
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 10,7/12,7/18,1
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 11,7/19,7/25,1
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 12,7/26,8/1,0
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 13,8/2,8/8,1
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 14,8/9,8/15,2
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 15,8/16,8/22,1
Education,Alisha,Teamwork - Gallery,We're staying on top of tasks (Gallery),Teamwork,10,6,Week 16,8/23,8/29,
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 1,5/10,5/16,0
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 2,5/17,5/23,8
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 3,5/24,5/30,19
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 4,5/31,6/6,7
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 5,6/7,6/13,7
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 6,6/14,6/20,1
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 7,6/21,6/27,1
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 8,6/28,7/4,
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 9,7/5,7/11,3
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 10,7/12,7/18,4
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 11,7/19,7/25,2
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 12,7/26,8/1,2
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 13,8/2,8/8,3
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 14,8/9,8/15,3
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 15,8/16,8/22,4
Education,Alisha,Teamwork - Education,We're staying on top of tasks (Education),Teamwork,8,4,Week 16,8/23,8/29,
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 1,5/10,5/16,
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 2,5/17,5/23,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 3,5/24,5/30,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 4,5/31,6/6,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 5,6/7,6/13,85%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 6,6/14,6/20,95%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 7,6/21,6/27,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 8,6/28,7/4,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 9,7/5,7/11,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 10,7/12,7/18,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 11,7/19,7/25,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 12,7/26,8/1,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 13,8/2,8/8,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 14,8/9,8/15,100%
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 15,8/16,8/22,
Education,Alisha,Onsite Camps/Clubs,We are filling onsite camps and clubs to capacity,Attendance/Programs Sheet,75%,100%,Week 16,8/23,8/29,
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 1,5/10,5/16,-29%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 2,5/17,5/23,-32%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 3,5/24,5/30,-40%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 4,5/31,6/6,-22%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 5,6/7,6/13,16%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 6,6/14,6/20,23%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 7,6/21,6/27,-59%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 8,6/28,7/4,-18%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 9,7/5,7/11,-41%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 10,7/12,7/18,-48%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 11,7/19,7/25,-75%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 12,7/26,8/1,-71%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 13,8/2,8/8,-84%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 14,8/9,8/15,-80%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 15,8/16,8/22,-96%
Education,Hope,Offsite Participants,"We're growing offsite programming (Last 30 days, compared to last year.)",Attendance/Programs Sheet,0%,12%,Week 16,8/23,8/29,-79%
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 1,5/10,5/16,2973
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 2,5/17,5/23,3266
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 3,5/24,5/30,2496
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 4,5/31,6/6,2267
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 5,6/7,6/13,1914
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 6,6/14,6/20,2014
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 7,6/21,6/27,1114
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 8,6/28,7/4,1110
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 9,7/5,7/11,633
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 10,7/12,7/18,720
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 11,7/19,7/25,399
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 12,7/26,8/1,591
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 13,8/2,8/8,356
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 14,8/9,8/15,334
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 15,8/16,8/22,70
Education,Hope,Offsite Participants,We're growing our offsite programming reach (Last 30 days),Programs Sheet,300,600,Week 16,8/23,8/29,181
Education,Hope,Community Partners,Community partnerships in programming (1 month rolling),Master Calendar + Summer Camp Schedule,6,10,Week 1,5/10,5/16,4
