"snapshot_date","section","metric_key","metric_label","value","goal","threshold","unit","show_on_dashboard","sort_order","icon","sub","team","team_member","source"
"2026-07-18","mission","event_participation","Event Participation","1160","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-07-18","mission","offsite_participation","Offsite Participation","-48","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-07-18","mission","gallery_visitors","Gallery Visitors","1955","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-07-18","sustainability","facebook_views","Facebook Views","6500","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-07-18","sustainability","memberships","Memberships","1772","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-07-25","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-07-25","mission","event_participation","Event Participation","1078","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-07-25","mission","offsite_participation","Offsite Participation","-75","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-07-25","mission","gallery_visitors","Gallery Visitors","1459","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-07-25","sustainability","facebook_views","Facebook Views","36900","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-07-25","sustainability","memberships","Memberships","1782","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-08-01","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-08-01","mission","event_participation","Event Participation","1344","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-08-01","mission","offsite_participation","Offsite Participation","-71","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-08-01","mission","gallery_visitors","Gallery Visitors","1758","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-08-01","sustainability","facebook_views","Facebook Views","15900","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-08-01","sustainability","memberships","Memberships","1670","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-08-08","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-08-08","mission","event_participation","Event Participation","758","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-08-08","mission","offsite_participation","Offsite Participation","-84","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-08-08","mission","gallery_visitors","Gallery Visitors","1737","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-08-08","sustainability","facebook_views","Facebook Views","16700","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-08-08","sustainability","memberships","Memberships","1692","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-08-15","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-08-15","mission","event_participation","Event Participation","900","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-08-15","mission","offsite_participation","Offsite Participation","-80","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-08-15","mission","gallery_visitors","Gallery Visitors","1850","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-08-15","sustainability","facebook_views","Facebook Views","18800","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-08-15","sustainability","memberships","Memberships","1727","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-08-22","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-08-22","mission","event_participation","Event Participation","970","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-08-22","mission","offsite_participation","Offsite Participation","-96","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-08-29","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-08-29","mission","event_participation","Event Participation","862","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-08-29","mission","offsite_participation","Offsite Participation","-79","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
